year,rank,player,age,team,first,pts_won,pts_max,share,g,mp,pts,trb,ast,stl,blk,fg%,height,weight,defense_rank,wins,dws,dbpm,bpm,vorp
2005,6,Larry Hughes,26,WAS,3.0,53.0,625,0.085,61,38.7,22.0,6.3,4.7,2.9,0.3,.430,196,83,19,45,3.1,1.9,4.3,3.7
2005,7,Tayshaun Prince,24,DET,6.0,46.0,625,0.074,82,37.1,14.7,5.3,3.0,0.7,0.9,.487,206,96,3,54,4.0,0.7,2.1,3.1
2005,8,Shaquille O'Neal,32,MIA,3.0,32.0,625,0.051,73,34.1,22.9,10.4,2.7,0.5,2.3,.601,216,147,6,59,4.6,1.2,5.3,4.6
2005,9,Kevin Garnett,28,MIN,4.0,30.0,625,0.048,82,38.1,22.2,13.5,5.7,1.5,1.4,.502,211,109,15,44,6.0,3.0,9.5,9.1
2005,10,Andrei Kirilenko,23,UTA,1.0,25.0,625,0.040,41,32.9,15.6,6.2,3.2,1.6,3.3,.493,206,100,26,26,2.0,3.7,9.2,3.8
2005,11,Allen Iverson,29,PHI,0.0,10.0,625,0.016,75,42.3,30.7,4.0,7.9,2.4,0.1,.424,183,75,10,43,3.7,0.0,4.2,5.0
2005,12,Kirk Hinrich,24,CHI,0.0,6.0,625,0.010,77,36.4,15.7,3.9,6.4,1.6,0.3,.397,193,86,2,47,4.7,1.6,2.5,3.2
2005,13,Joel Przybilla,25,POR,0.0,6.0,625,0.010,76,24.4,6.4,7.7,1.0,0.3,2.1,.598,216,116,21,27,2.7,1.4,-0.2,0.8
2005,14,Trenton Hassell,25,MIN,0.0,4.0,625,0.006,82,25.2,6.6,2.7,1.6,0.4,0.4,.474,196,91,15,44,1.0,-0.4,-2.8,-0.4
2005,15,Andre Iguodala,21,PHI,0.0,4.0,625,0.006,82,32.8,9.0,5.7,3.0,1.7,0.6,.493,198,98,10,43,4.0,2.1,1.4,2.3
2005,16,Rasheed Wallace,30,DET,0.0,3.0,625,0.005,79,34.0,14.5,8.2,1.8,0.8,1.5,.440,208,102,3,54,5.1,1.2,1.5,2.4
2006,1,Ben Wallace,31,DET,58.0,420.0,620,0.677,82,35.2,7.3,11.3,1.9,1.8,2.2,.510,206,109,5,64,6.9,3.1,3.5,4.0
2006,2,Bruce Bowen,34,SAS,38.0,308.0,620,0.497,82,33.6,7.5,3.9,1.5,1.0,0.4,.433,201,84,1,63,4.5,2.0,0.3,1.6
2006,3,Andrei Kirilenko,24,UTA,12.0,121.0,620,0.195,69,37.7,15.3,8.0,4.3,1.5,3.2,.460,206,100,21,41,4.3,3.1,6.6,5.6
2007,1,Marcus Camby,32,DEN,70.0,431.0,650,0.663,70,33.8,11.2,11.7,3.2,1.2,3.3,.473,211,100,11,45,5.1,3.9,4.7,4.0
2007,2,Bruce Bowen,35,SAS,22.0,206.0,650,0.317,82,30.0,6.2,2.7,1.4,0.8,0.3,.405,201,84,2,58,3.6,1.4,-1.1,0.6
2007,3,Tim Duncan,30,SAS,15.0,158.0,650,0.243,80,34.1,20.0,10.6,3.4,0.8,2.4,.546,211,113,2,58,6.8,3.2,7.0,6.2
2007,4,Shawn Marion,28,PHO,7.0,93.0,650,0.143,80,37.6,17.5,9.8,1.7,2.0,1.5,.524,201,100,13,61,5.3,1.9,4.4,4.8
2007,5,Shane Battier,28,HOU,7.0,86.0,650,0.132,82,36.4,10.1,4.1,2.1,1.0,0.7,.446,203,100,3,52,4.6,2.0,2.3,3.2
2007,6,Ben Wallace,32,CHI,1.0,42.0,650,0.065,77,35.0,6.4,10.7,2.4,1.4,2.0,.453,206,109,1,49,6.6,3.3,3.4,3.7
2007,7,Gerald Wallace,24,CHA,3.0,27.0,650,0.042,72,36.7,18.1,7.2,2.6,2.0,1.0,.502,201,98,20,33,3.5,1.5,3.7,3.7
2007,8,Metta World Peace,27,SAC,1.0,20.0,650,0.031,70,37.7,18.8,6.5,3.4,2.1,0.6,.440,198,118,22,33,3.1,0.9,2.8,3.2
2007,9,Tyson Chandler,24,NOK,0.0,15.0,650,0.023,73,34.6,9.5,12.4,0.9,0.5,1.8,.624,213,107,14,39,3.8,0.7,0.6,1.6
2007,10,Jermaine O'Neal,28,IND,1.0,11.0,650,0.017,69,35.6,19.4,9.6,2.4,0.7,2.6,.436,211,103,9,35,4.1,1.2,0.8,1.7
2007,11,Emeka Okafor,24,CHA,0.0,10.0,650,0.015,67,34.8,14.4,11.3,1.2,0.9,2.6,.532,208,114,20,33,3.6,0.9,2.1,2.4
2007,12,Tayshaun Prince,26,DET,0.0,10.0,650,0.015,82,36.6,14.3,5.2,2.8,0.6,0.7,.460,206,96,7,53,2.9,-0.4,1.8,2.9
2007,13,Kevin Garnett,30,MIN,0.0,7.0,650,0.011,76,39.4,22.4,12.8,4.1,1.2,1.7,.476,211,109,21,32,4.9,1.7,5.4,5.5
2007,14,Kirk Hinrich,26,CHI,0.0,7.0,650,0.011,80,35.5,16.6,3.4,6.3,1.3,0.3,.448,193,86,1,49,4.6,1.1,2.8,3.5
2007,15,Andrei Kirilenko,25,UTA,0.0,7.0,650,0.011,70,29.3,8.3,4.7,2.9,1.1,2.1,.471,206,100,18,51,2.9,3.1,3.8,3.0
2007,16,Dwight Howard,21,ORL,1.0,6.0,650,0.009,82,36.9,17.6,12.3,1.9,0.9,1.9,.603,208,120,6,40,5.8,1.1,2.8,3.7
2007,17,Quinton Ross,25,LAC,1.0,6.0,650,0.009,81,21.0,5.2,2.3,1.1,0.9,0.4,.467,198,88,10,40,1.8,1.4,-1.0,0.4
2007,18,Udonis Haslem,26,MIA,1.0,5.0,650,0.008,79,31.4,10.7,8.3,1.2,0.6,0.3,.492,203,107,8,44,3.1,-0.8,-2.3,-0.2
2007,19,Josh Howard,26,DAL,0.0,5.0,650,0.008,70,35.1,18.9,6.8,1.8,1.2,0.8,.459,201,95,5,67,3.8,0.4,3.1,3.2
2007,20,Luol Deng,21,CHI,0.0,4.0,650,0.006,82,37.5,18.8,7.1,2.5,1.2,0.6,.517,206,108,1,49,5.6,1.3,3.0,3.9
2008,1,Kevin Garnett,31,BOS,90.0,493.0,620,0.795,71,32.8,18.8,9.2,3.4,1.4,1.3,.539,211,109,1,66,6.2,3.5,8.2,6.0
2008,2,Marcus Camby,33,DEN,12.0,178.0,620,0.287,79,34.9,9.1,13.1,3.3,1.1,3.6,.450,211,100,10,50,5.9,3.3,3.4,3.8
2008,3,Shane Battier,29,HOU,11.0,175.0,620,0.282,80,36.3,9.3,5.1,1.9,1.0,1.1,.428,203,100,2,55,4.6,1.9,2.0,2.9
2008,4,Bruce Bowen,36,SAS,7.0,80.0,620,0.129,81,30.2,6.0,2.9,1.1,0.7,0.3,.407,201,84,3,56,3.4,1.5,-1.4,0.4
2008,5,Kobe Bryant,29,LAL,0.0,40.0,620,0.065,82,38.9,28.3,6.3,5.4,1.8,0.5,.459,198,96,5,57,4.3,0.6,5.8,6.3
2008,6,Josh Smith,22,ATL,1.0,34.0,620,0.055,81,35.5,17.2,8.2,3.4,1.5,2.8,.457,206,102,18,37,4.6,2.5,3.0,3.7
2008,7,Dwight Howard,22,ORL,1.0,24.0,620,0.039,82,37.7,20.7,14.2,1.3,0.9,2.1,.599,208,120,6,52,6.4,1.2,2.8,3.7
2008,8,Chris Paul,22,NOH,1.0,24.0,620,0.039,80,37.6,21.1,4.0,11.6,2.7,0.1,.488,185,79,7,56,4.6,3.2,10.4,9.3
2008,9,Tim Duncan,31,SAS,0.0,22.0,620,0.035,78,34.0,19.3,11.3,2.8,0.7,1.9,.497,211,113,3,56,6.2,2.2,5.2,4.8
2008,10,Tayshaun Prince,27,DET,0.0,13.0,620,0.021,82,32.9,13.2,4.9,3.3,0.5,0.4,.448,206,96,4,59,3.2,-0.1,1.6,2.5
2008,11,Tyson Chandler,25,NOH,1.0,10.0,620,0.016,79,35.2,11.8,11.7,1.0,0.6,1.1,.623,213,107,7,56,4.1,-0.2,0.4,1.7
2008,12,Rasheed Wallace,33,DET,0.0,9.0,620,0.015,77,30.5,12.7,6.6,1.8,1.2,1.7,.432,208,102,4,59,5.1,2.6,4.1,3.6
2008,13,Raja Bell,31,PHO,0.0,3.0,620,0.005,75,35.3,11.9,3.7,2.2,0.7,0.4,.421,196,93,16,55,1.5,-0.5,-0.8,0.8
2008,14,Samuel Dalembert,26,PHI,0.0,3.0,620,0.005,82,33.2,10.5,10.4,0.5,0.5,2.3,.513,211,116,8,40,4.3,0.5,-1.0,0.7
2008,15,Richard Hamilton,29,DET,0.0,3.0,620,0.005,72,33.7,17.3,3.3,4.2,1.0,0.1,.484,198,84,4,59,2.9,0.1,2.3,2.6
2008,16,Chauncey Billups,31,DET,0.0,1.0,620,0.002,78,32.3,17.0,2.7,6.8,1.3,0.2,.448,190,92,4,59,3.4,1.2,7.7,6.2
2008,17,Andrei Kirilenko,26,UTA,0.0,1.0,620,0.002,72,30.8,11.0,4.7,4.0,1.2,1.5,.506,206,100,12,54,2.8,2.0,5.2,4.0
2008,18,Kyle Lowry,21,MEM,0.0,1.0,620,0.002,82,25.5,9.6,3.0,3.6,1.1,0.3,.432,183,89,28,22,1.3,0.3,-0.9,0.6
2008,19,Rajon Rondo,21,BOS,0.0,1.0,620,0.002,77,29.9,10.6,4.2,5.1,1.7,0.2,.492,185,82,1,66,4.9,2.6,2.1,2.4
2008,20,Metta World Peace,28,SAC,0.0,1.0,620,0.002,57,38.1,20.5,5.8,3.5,2.3,0.7,.453,198,118,25,38,2.2,0.7,2.8,2.6
2009,1,Dwight Howard,23,ORL,105.0,542.0,595,0.911,79,35.7,20.6,13.8,1.4,1.0,2.9,.572,208,120,1,59,7.6,2.4,4.5,4.7
2009,2,LeBron James,24,CLE,4.0,148.0,595,0.249,81,37.7,28.4,7.6,7.2,1.7,1.1,.489,206,113,3,66,6.5,3.7,13.2,11.8
2009,3,Dwyane Wade,27,MIA,3.0,90.0,595,0.151,79,38.6,30.2,5.0,7.5,2.2,1.3,.491,193,100,11,43,4.4,2.4,10.6,9.6
2009,4,Shane Battier,30,HOU,2.0,71.0,595,0.119,60,33.9,7.3,4.8,2.3,0.8,0.9,.410,203,100,4,53,2.9,1.9,2.0,2.0
2009,5,Metta World Peace,29,HOU,1.0,54.0,595,0.091,69,35.5,17.1,5.2,3.3,1.5,0.3,.401,198,118,4,53,4.0,1.2,1.9,2.4
2009,6,Chris Paul,23,NOH,1.0,49.0,595,0.082,78,38.5,22.8,5.5,11.0,2.8,0.1,.503,185,79,9,49,5.0,3.8,11.0,9.9
2009,7,Kobe Bryant,30,LAL,2.0,43.0,595,0.072,82,36.1,26.8,5.2,4.9,1.5,0.5,.467,198,96,6,65,4.0,0.3,5.9,5.9
2009,8,Kevin Garnett,32,BOS,1.0,31.0,595,0.052,57,31.1,15.8,8.5,2.5,1.1,1.2,.531,211,109,2,62,4.1,3.0,5.7,3.5
2009,9,Chris Andersen,30,DEN,0.0,10.0,595,0.017,71,20.6,6.4,6.2,0.4,0.6,2.5,.548,208,111,8,54,2.8,2.4,2.2,1.5
2009,10,Rajon Rondo,22,BOS,0.0,8.0,595,0.013,80,33.0,11.9,5.2,8.2,1.9,0.1,.505,185,82,2,62,5.1,2.1,4.0,4.0
2009,11,Tim Duncan,32,SAS,0.0,7.0,595,0.012,75,33.7,19.3,10.7,3.5,0.5,1.7,.504,211,113,5,54,5.0,2.0,5.4,4.7
2010,1,Dwight Howard,24,ORL,110.0,576.0,610,0.944,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,208,120,3,59,7.1,2.8,4.4,4.6
2010,2,Josh Smith,24,ATL,3.0,136.0,610,0.223,81,35.4,15.7,8.7,4.2,1.6,2.1,.505,206,102,13,53,5.1,2.7,5.1,5.1
2010,3,Gerald Wallace,27,CHA,1.0,113.0,610,0.185,76,41.0,18.2,10.0,2.1,1.5,1.1,.484,201,98,1,44,6.2,1.7,2.7,3.7
2010,4,LeBron James,25,CLE,4.0,61.0,610,0.100,76,39.0,29.7,7.3,8.6,1.6,1.0,.503,206,113,7,61,5.2,2.8,11.8,10.3
2010,5,Rajon Rondo,23,BOS,1.0,55.0,610,0.090,81,36.6,13.7,4.4,9.8,2.3,0.1,.508,185,82,5,50,4.7,1.4,3.6,4.2
2010,6,Metta World Peace,30,LAL,0.0,29.0,610,0.048,77,33.8,11.0,4.3,3.0,1.4,0.3,.414,198,118,4,57,3.5,1.1,0.5,1.6
2010,7,Andrew Bogut,25,MIL,1.0,23.0,610,0.038,69,32.3,15.9,10.2,1.8,0.6,2.5,.520,213,118,2,46,4.8,2.2,3.1,2.8
2010,8,Thabo Sefolosha,25,OKC,2.0,20.0,610,0.033,82,28.6,6.0,4.7,1.8,1.2,0.6,.440,198,98,9,50,3.4,2.0,0.1,1.3
2010,9,Anderson Varejão,27,CLE,0.0,18.0,610,0.030,76,28.5,8.6,7.6,1.1,0.9,0.9,.572,208,124,7,61,3.8,1.2,1.3,1.8
2011,1,Dwight Howard,25,ORL,114.0,585.0,600,0.975,78,37.6,22.9,14.1,1.4,1.4,2.4,.593,208,120,3,52,7.7,2.4,5.3,5.4
2011,2,Kevin Garnett,34,BOS,1.0,77.0,600,0.128,71,31.3,14.9,8.9,2.4,1.3,0.8,.528,211,109,2,56,5.6,2.9,4.7,3.8
2011,3,Tyson Chandler,28,DAL,0.0,70.0,600,0.117,74,27.8,10.1,9.4,0.4,0.5,1.1,.654,213,107,8,57,3.5,1.0,1.5,1.8
2011,4,Tony Allen,29,MEM,0.0,53.0,600,0.088,72,20.8,8.9,2.7,1.4,1.8,0.6,.510,193,97,9,46,2.7,3.5,3.6,2.1
2011,5,Rajon Rondo,24,BOS,0.0,45.0,600,0.075,68,37.2,10.6,4.4,11.2,2.3,0.2,.475,185,82,2,56,4.8,1.4,3.1,3.2
2011,6,Andrew Bogut,26,MIL,0.0,32.0,600,0.053,65,35.3,12.8,11.1,2.0,0.7,2.6,.495,213,118,4,35,5.1,2.4,1.3,1.9
2011,7,Grant Hill,38,PHO,1.0,30.0,600,0.050,80,30.1,13.2,4.2,2.5,0.8,0.4,.484,203,102,25,40,1.3,-0.3,-0.5,0.9
2011,8,Andre Iguodala,27,PHI,0.0,29.0,600,0.048,67,36.9,14.1,5.8,6.3,1.5,0.6,.445,198,98,7,41,3.5,1.6,3.2,3.2
2011,9,LeBron James,26,MIA,0.0,25.0,600,0.042,79,38.8,26.7,7.5,7.0,1.6,0.6,.510,206,113,5,58,5.3,1.8,8.1,7.8
2011,10,Luol Deng,25,CHI,0.0,24.0,600,0.040,82,39.1,17.4,5.8,2.8,1.0,0.6,.460,206,108,1,62,5.2,0.6,1.7,3.0
2011,11,Kobe Bryant,32,LAL,0.0,18.0,600,0.030,82,33.9,25.3,5.1,4.7,1.2,0.1,.451,198,96,6,57,3.5,-0.2,5.2,5.0
2011,12,Chuck Hayes,27,HOU,2.0,13.0,600,0.022,74,28.1,7.9,8.1,2.7,1.1,0.7,.527,198,109,19,43,2.4,1.3,1.9,2.1
2011,13,Chris Paul,25,NOH,0.0,13.0,600,0.022,80,36.0,15.9,4.1,9.8,2.4,0.1,.463,185,79,10,46,4.4,2.8,7.1,6.7
2011,14,Serge Ibaka,21,OKC,0.0,12.0,600,0.020,82,27.0,9.9,7.6,0.3,0.4,2.4,.543,213,107,15,55,3.2,0.7,0.5,1.4
2011,15,Joakim Noah,25,CHI,1.0,11.0,600,0.018,48,32.8,11.7,10.4,2.2,1.0,1.5,.525,211,104,1,62,3.6,2.1,2.9,1.9
2011,16,Dwyane Wade,29,MIA,0.0,8.0,600,0.013,76,37.1,25.5,6.4,4.6,1.5,1.1,.500,193,100,5,58,4.7,1.1,6.6,6.1
2011,17,Tim Duncan,34,SAS,0.0,7.0,600,0.012,76,28.4,13.4,8.9,2.7,0.7,1.9,.500,211,113,11,61,4.0,2.2,4.4,3.5
2011,18,Metta World Peace,31,LAL,0.0,6.0,600,0.010,82,29.4,8.5,3.3,2.1,1.5,0.4,.397,198,118,6,57,3.2,1.5,0.2,1.3
2011,19,Keith Bogans,30,CHI,1.0,5.0,600,0.008,82,17.8,4.4,1.8,1.2,0.5,0.1,.404,196,98,1,62,2.2,1.4,-0.2,0.7
2011,20,JaVale McGee,23,WAS,0.0,5.0,600,0.008,79,27.8,10.1,8.0,0.5,0.5,2.4,.550,213,122,24,23,2.5,0.4,-0.4,0.9
2012,1,Tyson Chandler,29,NYK,45.0,311.0,605,0.514,62,33.2,11.3,9.9,0.9,0.9,1.4,.679,213,107,5,36,3.6,1.1,2.3,2.2
2012,2,Serge Ibaka,22,OKC,41.0,294.0,605,0.486,66,27.2,9.1,7.5,0.4,0.5,3.7,.535,213,107,11,47,3.2,2.3,2.3,1.9
2012,3,Dwight Howard,26,ORL,18.0,186.0,605,0.307,54,38.3,20.6,14.5,1.9,1.5,2.1,.573,208,120,12,37,4.4,2.0,4.3,3.3
2012,4,LeBron James,27,MIA,7.0,112.0,605,0.185,62,37.5,27.1,7.9,6.2,1.9,0.8,.531,206,113,4,46,4.5,2.7,10.9,7.6
2012,5,Kevin Garnett,35,BOS,2.0,44.0,605,0.073,60,31.1,15.8,8.2,2.9,0.9,1.0,.503,211,109,1,39,4.3,2.5,4.3,2.9
2012,6,Tony Allen,30,MEM,4.0,36.0,605,0.060,58,26.3,9.8,4.0,1.4,1.8,0.6,.469,193,97,7,41,2.5,2.3,1.7,1.4
2012,7,Andre Iguodala,28,PHI,1.0,33.0,605,0.055,62,35.6,12.4,6.1,5.5,1.7,0.5,.454,198,98,3,35,4.2,2.5,4.0,3.3
2012,8,Shawn Marion,33,DAL,2.0,17.0,605,0.028,63,30.5,10.6,7.4,2.1,1.1,0.6,.446,201,100,8,36,2.7,0.6,0.5,1.2
2012,9,Luol Deng,26,CHI,1.0,16.0,605,0.026,54,39.4,15.3,6.5,2.9,1.0,0.7,.412,206,108,2,50,3.6,1.1,1.7,2.0
2012,10,Josh Smith,26,ATL,0.0,9.0,605,0.015,66,35.3,18.8,9.6,3.9,1.4,1.7,.458,206,102,6,40,4.9,2.1,3.8,3.3
2012,11,Joakim Noah,26,CHI,0.0,6.0,605,0.010,64,30.4,10.2,9.8,2.5,0.6,1.4,.508,211,104,2,50,4.2,2.1,3.8,2.8
2012,12,Marc Gasol,27,MEM,0.0,5.0,605,0.008,65,36.5,14.6,8.9,3.1,1.0,1.9,.482,211,116,7,41,4.0,2.1,3.1,3.1
2012,13,Chris Paul,26,LAC,0.0,5.0,605,0.008,60,36.4,19.8,3.6,9.1,2.5,0.1,.478,185,79,18,40,2.3,2.4,9.2,6.1
2012,14,Avery Bradley,21,BOS,0.0,2.0,605,0.003,64,21.4,7.6,1.8,1.4,0.7,0.2,.498,190,82,1,39,1.9,0.7,-1.7,0.1
2012,15,Mike Conley,24,MEM,0.0,2.0,605,0.003,62,35.1,12.7,2.5,6.5,2.2,0.2,.433,185,79,7,41,2.8,1.4,2.4,2.4
2012,16,Grant Hill,39,PHO,0.0,2.0,605,0.003,49,28.1,10.2,3.5,2.2,0.8,0.6,.446,203,102,24,33,0.9,0.5,-0.9,0.4
2012,17,Iman Shumpert,21,NYK,0.0,2.0,605,0.003,59,28.9,9.5,3.2,2.8,1.7,0.1,.401,196,98,5,36,2.5,1.6,-1.4,0.2
2012,18,Greg Monroe,21,DET,0.0,1.0,605,0.002,66,31.5,15.4,9.7,2.3,1.3,0.7,.521,211,120,22,25,2.7,0.1,2.9,2.6
2012,19,Dwyane Wade,30,MIA,0.0,1.0,605,0.002,49,33.2,22.1,4.8,4.6,1.7,1.3,.497,193,100,4,46,2.9,1.9,7.9,4.0
2012,20,Russell Westbrook,23,OKC,0.0,1.0,605,0.002,66,35.3,23.6,4.6,5.5,1.7,0.3,.457,190,91,11,47,2.4,-0.7,3.0,3.0
2013,1,Marc Gasol,28,MEM,30.0,212.0,605,0.350,80,35.0,14.1,7.8,4.0,1.0,1.7,.494,211,116,2,56,5.4,3.1,5.2,5.1
2013,2,LeBron James,28,MIA,18.0,149.0,605,0.246,76,37.9,26.8,8.0,7.3,1.7,0.9,.565,206,113,9,66,4.7,2.4,11.7,9.9
2013,3,Serge Ibaka,23,OKC,14.0,122.0,605,0.202,80,31.1,13.2,7.7,0.5,0.4,3.0,.573,213,107,4,60,4.1,0.7,1.5,2.2
2013,4,Joakim Noah,27,CHI,13.0,107.0,605,0.177,66,36.8,11.9,11.1,4.0,1.2,2.1,.481,211,104,6,45,4.7,2.7,3.4,3.3
2013,5,Tony Allen,31,MEM,9.0,102.0,605,0.169,79,26.7,8.9,4.6,1.2,1.5,0.6,.445,193,97,2,56,4.1,2.4,0.4,1.2
2013,6,Tim Duncan,36,SAS,11.0,94.0,605,0.155,69,30.1,17.8,9.9,2.7,0.7,2.7,.502,211,113,3,58,4.9,2.9,5.3,3.8
2013,7,Larry Sanders,24,MIL,4.0,90.0,605,0.149,71,27.3,9.8,9.5,1.2,0.7,2.8,.506,211,107,12,38,3.7,2.0,1.0,1.5
2013,8,Paul George,22,IND,8.0,57.0,605,0.094,79,37.6,17.4,7.6,4.1,1.8,0.6,.419,203,100,1,49,6.3,2.3,3.8,4.4
2013,9,Andre Iguodala,29,DEN,5.0,43.0,605,0.071,80,34.7,13.0,5.3,5.4,1.7,0.7,.451,198,98,11,57,3.2,1.4,2.6,3.3
2013,10,Roy Hibbert,26,IND,3.0,36.0,605,0.060,79,28.7,11.9,8.3,1.4,0.5,2.6,.448,218,122,1,49,4.9,1.4,-0.3,0.9
2013,11,Chris Paul,27,LAC,2.0,19.0,605,0.031,70,33.4,16.9,3.7,9.7,2.4,0.1,.481,185,79,8,56,3.4,2.4,8.8,6.4
2013,12,Avery Bradley,22,BOS,2.0,15.0,605,0.025,50,28.7,9.2,2.2,2.1,1.3,0.4,.402,190,82,7,41,1.6,0.3,-3.7,-0.6
2013,13,Tyson Chandler,30,NYK,0.0,11.0,605,0.018,66,32.8,10.4,10.7,0.9,0.6,1.1,.638,213,107,18,54,2.6,-0.3,1.3,1.8
2013,14,Dwight Howard,27,LAL,1.0,9.0,605,0.015,76,35.8,17.1,12.4,1.4,1.1,2.4,.578,208,120,20,45,4.8,1.1,0.6,1.8
2013,15,Luol Deng,27,CHI,1.0,6.0,605,0.010,75,38.7,16.5,6.3,3.0,1.1,0.4,.426,206,108,6,45,3.3,-0.3,0.8,2.0
2013,16,Dwyane Wade,31,MIA,0.0,4.0,605,0.007,69,34.7,21.2,5.0,5.1,1.9,0.8,.521,193,100,9,66,3.5,0.7,4.4,3.8
2013,17,Trevor Ariza,27,WAS,0.0,3.0,605,0.005,56,26.3,9.5,4.8,2.0,1.3,0.4,.417,203,98,5,29,2.4,2.0,2.1,1.6
2013,18,Jimmy Butler,23,CHI,0.0,3.0,605,0.005,82,26.0,8.6,4.0,1.4,1.0,0.4,.467,201,104,6,45,2.6,1.0,2.0,2.1
2013,19,Kenneth Faried,23,DEN,0.0,3.0,605,0.005,80,28.1,11.5,9.2,1.0,1.0,1.0,.552,203,100,11,57,3.4,0.2,1.1,1.7
2013,20,Russell Westbrook,24,OKC,0.0,3.0,605,0.005,82,34.9,23.2,5.2,7.4,1.8,0.3,.438,190,91,4,60,3.9,-0.2,4.4,4.6
2014,1,Joakim Noah,28,CHI,100.0,555.0,625,0.888,80,35.3,12.6,11.3,5.4,1.2,1.5,.475,211,104,2,48,6.6,3.6,5.3,5.2
2014,2,Roy Hibbert,27,IND,8.0,166.0,625,0.266,81,29.7,10.8,6.6,1.1,0.4,2.2,.439,218,122,1,56,5.0,1.5,-1.4,0.4
2014,3,DeAndre Jordan,25,LAC,8.0,121.0,625,0.194,82,35.0,10.4,13.6,0.9,1.0,2.5,.676,211,120,9,57,5.8,1.6,2.5,3.3
2014,4,Serge Ibaka,24,OKC,2.0,79.0,625,0.126,81,32.9,15.1,8.8,1.0,0.5,2.7,.536,213,107,6,59,4.4,0.6,1.7,2.5
2014,5,Andre Iguodala,30,GSW,1.0,47.0,625,0.075,63,32.4,9.3,4.7,4.2,1.5,0.3,.480,198,98,4,51,3.1,2.4,2.3,2.2
2014,6,LeBron James,29,MIA,2.0,31.0,625,0.050,77,37.7,27.1,6.9,6.3,1.6,0.3,.567,206,113,11,54,3.7,1.1,8.8,7.9
2014,7,Paul George,23,IND,0.0,30.0,625,0.048,80,36.2,21.7,6.8,3.5,1.9,0.3,.424,203,100,1,56,6.4,2.1,4.9,5.0
2014,8,Anthony Davis,20,NOP,1.0,25.0,625,0.040,67,35.2,20.8,10.0,1.6,1.3,2.8,.519,208,115,27,34,3.2,0.8,4.8,4.0
2014,9,Dwight Howard,28,HOU,1.0,25.0,625,0.040,71,33.7,18.3,12.2,1.8,0.8,1.8,.591,208,120,13,54,4.1,0.8,1.8,2.3
2014,10,Andrew Bogut,29,GSW,1.0,11.0,625,0.018,67,26.4,7.3,10.0,1.7,0.7,1.8,.627,213,118,4,51,4.0,3.2,3.0,2.2
2014,11,Kawhi Leonard,22,SAS,0.0,9.0,625,0.014,66,29.1,12.8,6.2,2.0,1.7,0.8,.522,201,102,3,62,3.9,3.0,5.1,3.5
2014,12,P.J. Tucker,28,PHO,1.0,6.0,625,0.010,81,30.7,9.4,6.5,1.7,1.4,0.3,.431,196,111,15,48,2.8,0.9,1.0,1.9
2014,13,Tim Duncan,37,SAS,0.0,5.0,625,0.008,74,29.2,15.1,9.7,3.0,0.6,1.9,.490,211,113,3,62,4.6,2.1,3.3,2.9
2014,14,Chris Paul,28,LAC,0.0,5.0,625,0.008,62,35.0,19.1,4.3,10.7,2.5,0.1,.467,185,79,9,57,3.2,2.6,8.6,5.8
2014,15,Trevor Ariza,28,WAS,0.0,4.0,625,0.006,77,35.4,14.4,6.2,2.5,1.6,0.3,.456,203,98,8,44,3.7,1.0,2.3,3.0
2014,16,Marc Gasol,29,MEM,0.0,4.0,625,0.006,59,33.4,14.6,7.2,3.6,1.0,1.3,.473,211,116,7,50,3.1,2.0,3.0,2.5
2014,17,Patrick Beverley,25,HOU,0.0,2.0,625,0.003,56,31.3,10.2,3.5,2.7,1.4,0.4,.414,185,82,13,54,1.6,0.9,0.6,1.2
2015,1,Kawhi Leonard,23,SAS,37.0,333.0,645,0.516,64,31.8,16.5,7.2,2.5,2.3,0.8,.479,201,102,2,55,4.4,3.1,5.9,4.1
2015,2,Draymond Green,24,GSW,45.0,317.0,645,0.491,79,31.5,11.7,8.2,3.7,1.6,1.3,.443,198,104,1,67,5.2,2.8,3.5,3.5
2015,3,DeAndre Jordan,26,LAC,32.0,261.0,645,0.405,82,34.4,11.5,15.0,0.7,1.0,2.2,.710,211,120,15,56,5.4,0.7,2.9,3.5
2015,4,Anthony Davis,21,NOP,11.0,107.0,645,0.166,68,36.1,24.4,10.2,2.2,1.5,2.9,.535,208,115,22,45,4.2,2.3,8.9,6.7
2015,5,Rudy Gobert,22,UTA,2.0,33.0,645,0.051,82,26.3,8.4,9.5,1.3,0.8,2.3,.604,216,117,14,38,4.3,2.5,4.2,3.4
2015,6,Andrew Bogut,30,GSW,0.0,31.0,645,0.048,67,23.6,6.3,8.1,2.7,0.6,1.7,.563,213,118,1,67,3.4,3.3,2.4,1.8
2015,7,Tony Allen,33,MEM,1.0,29.0,645,0.045,63,26.2,8.6,4.4,1.4,2.0,0.5,.495,193,97,3,55,3.2,3.1,1.6,1.5
2015,8,Tim Duncan,38,SAS,1.0,12.0,645,0.019,77,28.9,13.9,9.1,3.0,0.8,2.0,.512,211,113,2,55,4.7,2.8,5.1,4.0
2015,9,Michael Kidd-Gilchrist,21,CHO,0.0,9.0,645,0.014,55,28.9,10.9,7.6,1.4,0.5,0.7,.465,198,105,9,33,2.2,0.6,-0.5,0.6
